Kundennummer,ABC_Klasse,Kennzeichen_Neukunde
100145,C,Ja
100146,-,Ja
100147,-,Ja
100148,-,Ja
100149,-,Ja
100150,C,Ja
100151,-,Ja
100152,-,Ja
100153,B,Ja
100154,-,Ja
100155,-,Ja
100156,C,Nein
100157,C,Ja
100158,-,Ja
100159,-,Ja
100160,A,Nein
100161,C,Ja
100162,C,Ja
100163,C,Ja
100164,C,Nein
100165,-,Ja
100166,C,Ja
100167,C,Ja
100168,-,Ja
100169,C,Nein
100170,B,Nein
100171,C,Ja
100172,-,Ja
100173,C,Ja
100174,B,Nein
100175,B,Nein
100176,C,Ja
100177,A,Nein
100178,-,Ja
100179,-,Ja
100180,-,Ja
100181,B,Nein
100182,C,Nein
100183,-,Ja
100184,-,Ja
100185,C,Ja
100186,C,Ja
100187,-,Ja
100188,C,Ja
100189,C,Nein
100190,A,Nein
100191,-,Ja
100192,C,Nein
100193,C,Ja
100194,C,Ja
100195,B,Nein
100196,C,Nein
100197,C,Ja
100198,-,Ja
100199,A,Nein
100200,B,Nein
100201,A,Nein
100202,C,Ja
100203,C,Ja
100204,C,Nein
100205,-,Ja
100206,B,Nein
100207,-,Ja
100208,C,Nein
100209,C,Ja
100210,C,Nein
100211,-,Ja
100212,-,Ja
100213,B,Nein
100214,-,Ja
100215,-,Ja
100216,C,Nein
100217,C,Ja
100218,B,Nein
100219,B,Ja
100220,B,Nein
100221,C,Nein
100222,C,Ja
100223,-,Ja
100224,C,Nein
100225,-,Ja
100226,C,Ja
100227,-,Ja
100228,C,Ja
100229,B,Nein
100230,C,Ja
100231,A,Ja
100232,B,Nein
100233,C,Ja
100234,C,Ja
100235,B,Nein
100236,A,Nein
100237,-,Ja
100238,C,Ja
100239,-,Ja
100240,C,Nein
100241,C,Nein
100242,C,Ja
100243,B,Ja
100244,-,Ja
100245,C,Nein
100246,C,Nein
100247,-,Ja
100248,B,Nein
100249,C,Ja
100250,C,Ja
100251,-,Ja
100252,-,Ja
100253,C,Nein
100254,-,Ja
100255,B,Nein
100256,B,Nein
100257,C,Ja
100258,C,Ja
100259,C,Ja
100260,-,Ja
100261,-,Ja
100262,C,Ja
100263,A,Nein
100264,C,Ja
100265,-,Ja
100266,-,Ja
100267,C,Ja
100268,C,Ja
100269,C,Nein
100270,C,Ja
100271,B,Nein
100272,-,Ja
100273,-,Ja
100274,-,Ja
100275,-,Ja
100276,B,Nein
100277,C,Ja
100278,B,Ja
100279,-,Ja
100280,-,Ja
100281,C,Ja
100282,C,Ja
100283,B,Nein
100284,-,Ja
100285,C,Ja
100286,A,Nein
100287,C,Ja
100289,-,Ja
100290,C,Nein
100291,A,Ja
100292,C,Ja
100293,A,Nein
100294,A,Nein
100295,A,Nein
100296,-,Ja
100297,-,Ja
100298,C,Ja
100299,-,Ja
100300,C,Ja
100301,-,Ja
100302,-,Ja
100303,C,Nein
100304,C,Nein
100305,-,Ja
100306,-,Ja
100307,C,Ja
100308,-,Ja
100309,-,Ja
100310,C,Ja
100311,C,Nein
100312,C,Ja
100313,C,Nein
100314,-,Ja
100315,A,Ja
100316,C,Nein
100317,C,Nein
100318,B,Nein
100319,C,Nein
100320,-,Ja
100321,-,Ja
100322,-,Ja
100323,B,Ja
100324,-,Ja
100325,B,Nein
100326,-,Ja
100327,-,Ja
100328,-,Ja
100329,B,Nein
100330,-,Ja
100331,C,Ja
100332,-,Ja
100333,-,Ja
100334,B,Nein
100335,C,Nein
100336,-,Ja
100337,-,Ja
100338,C,Ja
100339,C,Ja
100340,C,Ja
100341,C,Nein
100342,A,Nein
100343,-,Ja
100344,C,Ja
100345,-,Ja
100346,-,Ja
100347,B,Nein
100348,-,Ja
100349,-,Ja
100350,C,Ja
100351,B,Ja
100352,-,Ja
100353,-,Ja
100354,C,Ja
100355,-,Ja
100356,-,Ja
100357,-,Ja
100358,-,Ja
100359,C,Ja
100360,A,Ja
100361,-,Ja
100362,-,Ja
100363,-,Ja
100364,B,Nein
100365,-,Ja
100366,C,Ja
100367,-,Ja
100368,A,Nein
100369,-,Ja
100370,B,Nein
100371,-,Ja
100372,B,Nein
100373,C,Nein
100374,C,Ja
100375,-,Ja
100376,C,Ja
100377,C,Ja
100378,-,Ja
100379,C,Ja
100380,C,Ja
100381,B,Nein
100382,C,Ja
100383,-,Ja
100384,-,Ja
100385,-,Ja
100386,C,Ja
100387,-,Ja
100388,B,Nein
100389,-,Ja
100390,-,Ja
100391,-,Ja
100392,-,Ja
100393,C,Ja
100394,-,Ja
100395,B,Nein
100396,C,Nein
100397,-,Ja
100398,C,Ja
100399,-,Ja
100400,-,Ja
100401,C,Ja
100402,-,Ja
100403,B,Nein
100404,-,Ja
100405,A,Ja
100406,C,Nein
100407,-,Ja
100408,-,Ja
100409,C,Ja
100410,C,Ja
100411,C,Nein
100412,-,Ja
100413,A,Nein
100414,B,Nein
100415,-,Ja
100416,-,Ja
100417,C,Ja
100418,-,Ja
100419,-,Ja
100420,-,Ja
100421,C,Ja
100422,C,Nein
100423,C,Nein
100424,-,Ja
100425,-,Ja
100426,-,Ja
100427,C,Ja
100428,A,Nein
100429,-,Ja
100430,C,Ja
100431,-,Ja
100432,-,Ja
100433,-,Ja
100434,-,Ja
100435,C,Ja
100436,B,Nein
100437,C,Ja
100438,C,Ja
100439,-,Ja
100440,-,Ja
100441,C,Ja
100442,-,Ja
100443,C,Ja
100444,C,Ja
100445,B,Nein
100446,-,Ja
100447,-,Ja
100448,C,Nein
100449,-,Ja
100450,-,Ja
100451,C,Ja
100452,B,Nein
100453,C,Nein
100454,B,Nein
100455,A,Ja
100456,-,Ja
100457,-,Ja
100458,C,Ja
100459,C,Ja
100460,-,Ja
100461,-,Ja
100462,C,Ja
100463,-,Ja
100464,-,Ja
100465,-,Ja
100466,-,Ja
100467,-,Ja
100468,-,Ja
100469,A,Nein
100470,-,Ja
100471,C,Nein
100472,B,Nein
100473,-,Ja
100474,-,Ja
100475,-,Ja
100476,-,Ja
100477,-,Ja
100478,A,Nein
100479,C,Ja
100480,C,Ja
100481,A,Nein
100482,-,Ja
100483,A,Nein
100484,-,Ja
100485,-,Ja
100486,-,Ja
100487,-,Ja
100488,-,Ja
100489,C,Nein
100490,A,Nein
100491,C,Ja
100492,C,Ja
100493,-,Ja
100494,-,Ja
100495,-,Ja
100496,A,Nein
100497,C,Nein
100498,-,Ja
100499,C,Ja
100500,-,Ja
100501,-,Ja
100502,-,Ja
100503,C,Nein
100504,-,Ja
100505,C,Nein
100506,C,Nein
100507,A,Nein
100508,C,Ja
100509,A,Nein
100510,-,Ja
100511,B,Nein
100512,C,Ja
100513,C,Ja
100514,-,Ja
100515,-,Ja
100516,C,Ja
100517,A,Nein
100518,-,Ja
100519,-,Ja
100520,-,Ja
100521,-,Ja
100522,-,Ja
100523,C,Ja
100524,-,Ja
100525,-,Ja
100526,-,Ja
100527,C,Ja
100528,-,Ja
100529,C,Ja
100530,A,Nein
100531,C,Ja
100532,C,Ja
100533,C,Nein
100534,-,Ja
100535,A,Ja
100536,C,Ja
100537,-,Ja
100538,-,Ja
100539,C,Ja
100540,-,Ja
100541,C,Nein
100542,-,Ja
100543,C,Ja
100544,-,Ja
100545,B,Nein
100546,A,Nein
100547,C,Ja
100548,C,Ja
100549,C,Ja
100550,-,Ja
100551,C,Ja
100552,-,Ja
100553,-,Ja
100554,-,Ja
100555,B,Ja
100556,-,Ja
100557,B,Ja
100558,-,Ja
100559,C,Nein
100560,-,Ja
100561,C,Nein
100562,B,Nein
100563,-,Ja
100564,-,Ja
100565,-,Ja
100566,C,Nein
100567,B,Nein
100569,C,Ja
100570,C,Nein
100571,C,Ja
100572,B,Nein
100573,C,Ja
100574,A,Nein
100575,-,Ja
100576,C,Nein
100577,A,Ja
100578,C,Nein
100579,B,Nein
100580,C,Ja
100581,-,Ja
100582,-,Ja
100583,C,Ja
100584,-,Ja
100585,C,Ja
100586,-,Ja
100587,-,Ja
100588,-,Ja
100589,C,Ja
100590,-,Ja
100591,-,Ja
100592,C,Ja
100593,-,Ja
100594,-,Ja
100595,C,Ja
100596,C,Nein
100597,-,Ja
100598,A,Nein
100599,C,Nein
100600,C,Ja
100601,-,Ja
100602,-,Ja
100603,C,Ja
100604,-,Ja
100605,C,Nein
100606,-,Ja
100607,C,Ja
100608,-,Ja
100609,-,Ja
100610,C,Nein
100611,B,Nein
100612,-,Ja
100613,-,Ja
100614,-,Ja
100615,C,Nein
100616,C,Nein
100617,-,Ja
100618,C,Ja
100619,-,Ja
100620,C,Ja
100621,-,Ja
100622,C,Ja
100623,C,Ja
100624,B,Ja
100625,C,Ja
100626,C,Ja
100627,C,Ja
100628,-,Ja
100629,C,Nein
100630,C,Ja
100631,C,Ja
100632,C,Ja
100633,C,Ja
100634,C,Ja
100635,-,Ja
100636,-,Ja
100637,-,Ja
100638,C,Ja
100639,-,Ja
100640,-,Ja
100641,-,Ja
100642,B,Nein
100643,-,Ja
100644,C,Nein
100645,B,Nein
100646,C,Ja
100647,-,Ja
100648,C,Ja
100649,-,Ja
100650,-,Ja
100651,-,Ja
100652,C,Ja
100653,-,Ja
100654,-,Ja
100655,-,Ja
100656,C,Ja
100657,-,Ja
100658,-,Ja
100659,-,Ja
100660,-,Ja
100661,-,Ja
100662,-,Ja
100663,-,Ja
100664,-,Ja
100665,C,Ja
100666,A,Nein
100667,C,Ja
100668,-,Ja
100669,-,Ja
100670,C,Ja
100671,C,Ja
100672,C,Ja
100673,-,Ja
100674,C,Ja
100675,C,Ja
100676,C,Ja
100677,C,Ja
100678,C,Ja
100679,B,Nein
100680,C,Nein
100681,C,Ja
100682,C,Ja
100683,-,Ja
100684,C,Ja
100685,C,Ja
100686,-,Ja
100687,A,Nein
100688,C,Ja
100689,C,Ja
100690,C,Ja
100691,C,Ja
100692,C,Nein
100693,C,Ja
100694,C,Ja
100695,C,Ja
100696,C,Nein
100697,-,Ja
100698,C,Ja
100699,C,Ja
100700,-,Ja
100701,C,Ja
100702,C,Ja
100703,-,Ja
100704,C,Nein
100705,C,Ja
100706,C,Ja
100707,C,Ja
100708,A,Nein
100709,C,Ja
100710,A,Nein
100711,B,Nein
100712,B,Nein
100713,B,Nein
100714,B,Nein
100715,A,Nein
100716,C,Ja
100717,B,Nein
100718,C,Nein
100719,B,Nein
100720,C,Nein
100721,C,Ja
100723,C,Ja
100724,C,Nein
100725,-,Ja
100726,B,Nein
100727,C,Ja
100728,C,Ja
100729,C,Nein
100730,C,Ja
100731,C,Ja
100732,C,Ja
100733,C,Nein
100734,A,Nein
100735,C,Ja
100736,C,Nein
100737,B,Ja
100738,C,Nein
100739,C,Nein
100740,C,Ja
100741,-,Ja
100742,C,Ja
100743,C,Ja
100744,-,Ja
100745,A,Nein
100746,-,Ja
100747,C,Ja
100748,C,Ja
100749,C,Ja
100750,C,Nein
100751,B,Nein
100752,C,Ja
100753,C,Ja
100754,C,Nein
100755,B,Nein
100756,B,Nein
100757,C,Ja
100758,A,Nein
100759,-,Ja
100760,B,Nein
100761,C,Nein
100762,-,Ja
100763,C,Ja
100764,A,Nein
100766,C,Ja
100767,-,Ja
100768,C,Nein
100769,C,Nein
100770,A,Nein
100771,C,Ja
100772,C,Nein
100773,C,Ja
100774,A,Nein
100775,-,Ja
100776,C,Ja
100777,-,Ja
100778,-,Ja
100779,-,Ja
100780,C,Ja
100781,C,Ja
100782,C,Ja
100783,C,Ja
100784,C,Nein
100785,-,Ja
100786,-,Ja
100787,C,Ja
100788,B,Nein
100789,C,Ja
100790,B,Nein
100791,-,Ja
100792,-,Ja
100793,-,Ja
100794,C,Ja
100795,C,Nein
100796,-,Ja
100797,C,Ja
100798,C,Nein
100799,-,Ja
100800,C,Nein
100801,C,Ja
100802,-,Ja
100803,B,Ja
100804,A,Nein
100805,C,Ja
100806,C,Nein
100807,C,Ja
100808,C,Ja
100809,C,Ja
100810,-,Ja
100811,-,Ja
100812,C,Ja
100813,C,Ja
100814,C,Nein
100815,C,Nein
100816,C,Nein
100817,-,Ja
100818,-,Ja
100819,C,Ja
100820,-,Ja
100821,-,Ja
100822,C,Ja
100823,-,Ja
100824,B,Nein
100825,-,Ja
100826,C,Nein
100827,C,Ja
100828,C,Ja
100829,C,Ja
100830,C,Ja
100831,C,Ja
100832,-,Ja
100833,-,Ja
100834,-,Ja
100835,-,Ja
100836,C,Ja
100837,-,Ja
100838,C,Ja
100839,C,Nein
100840,C,Nein
100841,C,Ja
100842,C,Nein
100843,-,Ja
100844,C,Ja
100845,C,Nein
100846,C,Nein
100847,-,Ja
100848,C,Ja
100849,-,Ja
100850,C,Nein
100851,-,Ja
100852,B,Nein
100853,-,Ja
100854,-,Ja
100855,-,Ja
100856,-,Ja
100857,-,Ja
100858,B,Ja
100859,C,Nein
100860,-,Ja
100861,C,Nein
100862,-,Ja
100863,C,Ja
100864,-,Ja
100865,A,Ja
100866,C,Ja
100867,-,Ja
100868,C,Ja
100869,C,Ja
100870,-,Ja
100871,-,Ja
100872,C,Ja
100873,B,Ja
100874,C,Ja
100875,-,Ja
100876,A,Nein
100877,-,Ja
100878,B,Nein
100879,C,Ja
100880,C,Ja
100882,C,Ja
100884,C,Ja
100885,-,Ja
100886,C,Ja
100887,B,Ja
100888,A,Nein
100889,C,Ja
100890,C,Nein
100891,A,Ja
100892,-,Ja
100893,C,Ja
100895,-,Ja
100896,C,Nein
100897,A,Nein
100898,C,Ja
100899,A,Ja
100900,C,Nein
100901,C,Nein
100902,C,Nein
100903,-,Ja
100904,-,Ja
100905,C,Ja
100906,A,Nein
100907,C,Nein
100908,C,Nein
100909,A,Nein
100910,-,Ja
100911,C,Ja
100912,C,Ja
100913,-,Ja
100914,C,Nein
100915,C,Nein
100916,-,Ja
100917,C,Nein
100918,C,Nein
100919,-,Ja
100920,-,Ja
100921,A,Nein
100922,C,Ja
100923,-,Ja
100924,-,Ja
100925,A,Nein
100926,-,Ja
100927,C,Ja
100928,-,Ja
100929,-,Ja
100930,-,Ja
100931,-,Ja
100932,B,Nein
100933,C,Ja
100934,-,Ja
100935,-,Ja
100936,-,Ja
100937,-,Ja
100938,-,Ja
100939,-,Ja
100940,-,Ja
100941,C,Nein
100942,B,Nein
100943,-,Ja
100944,-,Ja
100945,B,Ja
100946,-,Ja
100947,-,Ja
100948,-,Ja
100949,C,Ja
100950,-,Ja
100951,-,Ja
100952,-,Ja
100953,-,Ja
100954,-,Ja
100955,C,Ja
100956,-,Ja
100957,C,Nein
100958,-,Ja
100959,-,Ja
100960,-,Ja
100961,C,Ja
100962,-,Ja
100963,-,Ja
100964,C,Ja
100965,-,Ja
100966,-,Ja
100967,A,Ja
100968,C,Ja
100969,A,Ja
100970,-,Ja
100971,-,Ja
100972,-,Ja
100973,C,Ja
100974,-,Ja
100975,-,Ja
100976,C,Ja
100977,-,Ja
100978,-,Ja
100979,B,Nein
100980,-,Ja
100982,C,Nein
100983,C,Ja
100984,B,Nein
100985,C,Nein
100987,C,Nein
100988,C,Nein
100989,-,Ja
100990,A,Nein
100991,-,Ja
100992,A,Nein
100993,A,Nein
100994,C,Nein
100995,-,Ja
100996,C,Ja
100997,C,Ja
100998,C,Nein
100999,C,Nein
101000,C,Ja
101001,A,Nein
101002,A,Ja
101003,A,Nein
101004,C,Ja
101005,-,Ja
101006,A,Nein
101007,C,Ja
101008,C,Ja
101009,B,Nein
101010,B,Ja
101011,C,Nein
101012,-,Ja
101013,-,Ja
101014,B,Nein
101015,A,Nein
101016,B,Nein
101018,C,Nein
101019,C,Nein
101020,C,Nein
101021,C,Ja
101022,A,Nein
101023,-,Ja
101024,C,Ja
101025,C,Nein
101026,B,Nein
101027,-,Ja
101028,A,Nein
101029,C,Ja
101030,C,Ja
101031,A,Nein
101032,C,Nein
101033,-,Ja
101034,B,Nein
101035,C,Ja
101036,-,Ja
101037,B,Ja
101038,-,Ja
101039,C,Nein
101040,C,Nein
101041,B,Ja
101042,B,Nein
101043,B,Nein
101044,A,Nein
101045,-,Ja
101046,C,Ja
101047,A,Nein
101048,C,Ja
101049,-,Ja
101050,C,Ja
101051,C,Nein
101052,C,Ja
101053,-,Ja
101054,A,Nein
101055,C,Nein
101056,C,Ja
101057,-,Ja
101058,B,Nein
101059,-,Ja
101060,A,Nein
101061,-,Ja
101062,C,Nein
101063,C,Ja
101064,C,Nein
101065,C,Ja
101066,-,Ja
101067,C,Ja
101068,-,Ja
101069,-,Ja
101070,A,Nein
101071,-,Ja
101072,A,Nein
101073,A,Nein
101074,B,Nein
101075,C,Nein
101076,C,Ja
101077,B,Nein
101078,C,Nein
101079,C,Ja
101080,B,Nein
101081,C,Ja
101082,C,Nein
101083,-,Ja
101084,C,Ja
101085,-,Ja
101086,-,Ja
101087,-,Ja
101088,C,Ja
101089,-,Ja
101090,C,Nein
101091,B,Nein
101092,-,Ja
101093,C,Ja
101094,-,Ja
101095,-,Ja
101096,C,Nein
101097,B,Nein
101098,-,Ja
101099,-,Ja
101100,B,Nein
101101,C,Nein
101102,B,Ja
101103,-,Ja
101104,C,Nein
101105,C,Nein
101106,B,Nein
101107,C,Nein
101108,C,Ja
101109,C,Ja
101110,-,Ja
101111,-,Ja
101113,C,Nein
101114,C,Ja
101115,C,Nein
101116,-,Ja
101117,-,Ja
101118,C,Nein
101119,-,Ja
101120,C,Ja
101121,C,Ja
101122,-,Ja
101123,-,Ja
101124,A,Nein
101125,B,Nein
101126,-,Ja
101127,-,Ja
101128,C,Nein
101129,-,Ja
101130,-,Ja
101131,C,Ja
101132,C,Ja
101133,-,Ja
101134,C,Nein
101135,B,Nein
101136,-,Ja
101137,-,Ja
101138,-,Ja
101139,C,Nein
101140,-,Nein
101141,C,Nein
101142,-,Ja
101143,-,Ja
101144,-,Ja
101145,-,Ja
101146,-,Ja
101147,-,Ja
101148,-,Ja
101149,C,Ja
101150,C,Ja
101151,B,Nein
101152,C,Ja
101153,-,Ja
101154,-,Ja
101155,C,Ja
101156,-,Ja
101157,C,Ja
101158,-,Ja
101159,-,Ja
101160,-,Ja
101161,-,Ja
101162,-,Ja
101163,C,Ja
101164,C,Ja
101165,-,Ja
101166,B,Nein
101167,C,Ja
101168,-,Ja
101169,-,Ja
101170,-,Ja
101171,-,Ja
101172,-,Ja
101173,A,Nein
101174,A,Nein
101175,-,Ja
101176,-,Ja
101177,-,Ja
101178,C,Ja
101179,A,Ja
101180,B,Ja
101181,C,Nein
101182,B,Nein
101183,C,Ja
101184,C,Ja
101185,-,Ja
101186,C,Ja
101187,-,Ja
101188,C,Nein
101189,-,Ja
101190,-,Ja
101191,-,Ja
101192,-,Ja
101193,C,Ja
101194,C,Ja
101196,-,Ja
101197,-,Ja
101198,C,Nein
101199,C,Nein
101200,C,Ja
101201,A,Ja
101202,-,Ja
101203,C,Ja
101204,C,Nein
101205,A,Nein
101206,-,Ja
101207,B,Nein
101208,A,Nein
101209,B,Nein
101210,C,Ja
101211,C,Ja
101212,-,Ja
101213,C,Nein
101214,C,Nein
101215,-,Ja
101216,B,Nein
101217,B,Ja
101218,-,Ja
101219,C,Ja
101220,-,Ja
101221,B,Nein
101222,C,Ja
101223,B,Nein
101224,-,Ja
101225,-,Ja
101226,-,Ja
101227,C,Nein
101228,-,Ja
101229,C,Ja
101230,C,Ja
101231,-,Ja
101232,-,Ja
101233,-,Ja
101234,C,Ja
101235,C,Ja
101236,B,Ja
101237,C,Ja
101238,C,Ja
101239,A,Nein
101240,C,Nein
101241,C,Nein
101242,-,Ja
101243,C,Ja
101244,C,Nein
101245,-,Ja
101246,-,Ja
101247,C,Nein
101248,A,Nein
101249,-,Ja
101250,B,Ja
101251,B,Nein
101252,-,Ja
101253,C,Ja
101254,-,Ja
101255,C,Ja
101256,-,Ja
101257,C,Ja
101258,-,Ja
101259,-,Ja
101260,C,Nein
101261,B,Ja
101262,C,Nein
101263,B,Ja
101264,C,Nein
101265,A,Nein
101266,C,Ja
101267,-,Ja
101268,-,Ja
101269,C,Ja
101270,A,Nein
101271,-,Ja
101272,-,Ja
101273,C,Ja
101274,-,Ja
101275,-,Ja
101276,-,Ja
101277,-,Ja
101278,A,Ja
101279,-,Ja
101280,A,Nein
101281,C,Ja
101282,C,Ja
101283,-,Ja
101284,C,Ja
101285,-,Ja
101286,A,Nein
101287,-,Ja
101288,C,Ja
101289,C,Ja
101290,-,Ja
101291,B,Ja
101292,-,Ja
101293,-,Ja
101294,C,Nein
101295,B,Nein
101296,C,Nein
101297,C,Nein
101298,C,Nein
101299,-,Ja
101300,-,Ja
101301,C,Ja
101302,C,Ja
101303,C,Nein
101304,C,Nein
101305,C,Nein
101306,C,Ja
101307,-,Ja
101308,C,Nein
101309,-,Ja
101310,C,Nein
101311,C,Nein
101312,C,Nein
101313,-,Ja
101314,C,Ja
101315,-,Ja
101316,-,Ja
101317,C,Nein
101318,-,Ja
101319,-,Ja
101320,C,Ja
101321,A,Ja
101322,A,Nein
101323,A,Nein
101324,A,Ja
101325,C,Ja
101326,-,Ja
101327,-,Ja
101328,-,Ja
101329,C,Ja
101330,C,Ja
101331,C,Ja
101332,A,Nein
101333,C,Ja
101334,C,Ja
101335,-,Ja
101336,B,Nein
101337,C,Ja
101338,-,Ja
101339,C,Nein
101340,B,Nein
101341,-,Ja
101342,C,Nein
101343,-,Ja
101344,B,Ja
101345,B,Nein
101346,C,Ja
101347,B,Nein
101348,-,Ja
101349,C,Ja
101350,-,Ja
101351,-,Ja
101352,B,Nein
101353,C,Nein
101354,C,Ja
101355,-,Ja
101356,C,Nein
101357,C,Ja
101358,B,Nein
101359,C,Ja
101360,C,Ja
101361,C,Nein
101362,-,Ja
101363,-,Ja
101364,-,Ja
101365,C,Ja
101366,A,Nein
101367,C,Nein
101368,A,Nein
101369,C,Nein
101370,B,Ja
101371,A,Nein
101372,C,Ja
101373,A,Nein
101374,B,Nein
101375,C,Ja
101376,A,Nein
101377,C,Nein
101378,C,Ja
101379,C,Ja
101380,C,Nein
101381,-,Ja
101382,C,Nein
101383,C,Ja
101385,-,Ja
101386,C,Nein
101387,-,Ja
101388,A,Nein
101389,C,Ja
101390,C,Ja
101391,-,Ja
101392,A,Nein
101393,C,Nein
101394,-,Ja
101395,C,Nein
101396,-,Ja
101397,C,Ja
101398,C,Ja
101399,B,Nein
101400,C,Ja
101401,C,Nein
101402,B,Ja
101403,C,Nein
101404,C,Nein
101405,-,Ja
101406,C,Ja
101407,-,Ja
101408,A,Nein
101409,B,Ja
101410,-,Ja
101411,-,Ja
101412,C,Ja
101413,C,Nein
101414,-,Ja
101415,C,Nein
101416,-,Ja
101417,C,Nein
101418,-,Ja
101419,C,Ja
101420,C,Ja
101421,-,Ja
101422,-,Ja
101423,C,Ja
101424,C,Ja
101425,C,Ja
101426,C,Ja
101427,C,Ja
101428,-,Ja
101429,C,Ja
101430,C,Ja
101431,-,Ja
101432,C,Ja
101433,-,Ja
101434,C,Ja
101435,-,Ja
101436,-,Ja
101437,-,Ja
101438,-,Ja
101439,-,Ja
101440,-,Ja
101441,B,Nein
101442,C,Ja
101443,C,Ja
101444,C,Ja
101445,C,Ja
101446,C,Ja
101447,C,Ja
101448,C,Nein
101449,C,Nein
101450,C,Ja
101451,-,Ja
101452,C,Nein
101453,-,Nein
101454,-,Ja
101455,-,Ja
101456,-,Ja
101457,B,Nein
101458,B,Nein
101459,-,Nein
101460,-,Ja
101461,-,Ja
101462,-,Ja
101463,C,Ja
101464,C,Ja
101465,C,Ja
101466,C,Ja
101467,-,Ja
101468,C,Ja
101469,-,Ja
101470,C,Ja
101471,C,Nein
101472,C,Nein
101473,C,Ja
101474,-,Ja
101475,-,Ja
101476,-,Ja
101477,-,Ja
101478,-,Ja
101479,-,Ja
101480,-,Ja
101481,-,Ja
101482,-,Ja
101483,C,Nein
101484,B,Nein
101485,-,Ja
101486,C,Ja
101487,C,Ja
101488,-,Ja
101489,-,Ja
101490,-,Ja
101491,-,Ja
101492,-,Ja
101493,-,Ja
101494,-,Ja
101495,C,Ja
101496,C,Ja
101497,C,Ja
101498,C,Ja
101499,-,Ja
101500,A,Ja
101501,C,Ja
101502,C,Ja
101503,C,Ja
101504,C,Ja
101505,C,Ja
101506,-,Ja
101507,C,Ja
101508,C,Ja
101509,-,Ja
101510,-,Ja
101511,-,Ja
101512,-,Ja
101513,-,Ja
101514,C,Ja
101515,-,Ja
101516,C,Ja
101517,C,Ja
101518,-,Ja
101519,-,Ja
101520,-,Ja
101521,C,Ja
101522,-,Ja
101523,-,Ja
101524,-,Ja
101525,C,Ja
101526,C,Ja
101527,C,Ja
101528,-,Ja
101529,-,Ja
101530,C,Ja
101531,C,Ja
101532,-,Ja
101533,-,Ja
101534,C,Ja
101535,C,Ja
101536,-,Ja
101537,C,Ja
101538,-,Ja
101539,C,Ja
101540,-,Ja
101541,C,Ja
101542,-,Ja
101543,C,Ja
101544,C,Ja
101545,C,Ja
101546,-,Ja
101547,-,Ja
101548,C,Ja
101549,-,Ja
101550,C,Ja
101551,C,Nein
101552,C,Ja
101553,C,Ja
101554,-,Ja
101555,-,Ja
101556,C,Ja
101557,C,Ja
101558,C,Nein
101559,C,Ja
101560,-,Ja
101561,-,Ja
101562,C,Ja
101563,C,Ja
101564,-,Ja
101565,A,Nein
101566,B,Ja
